employee_id,name,age,gender,department,job_role,salary,joining_date,city,email,experience_years,performance_score
EMP22369,Karthik Iyer,30,,HR,Operations Manager,111587.0,2019-02-11,Kochi,,6.1,good
EMP17361,Sneha Patel,21,M,IT,HR Executive,85611.0,2019-05-12,Hyd,,6.9,Excellent
EMP13446,Meena Iyer,49,Unknown,Operations,Software Engineer,157829.0,2023-10-05,Mumbai,,3.6,good
EMP28416,Nisha Das,42,female,Sales,software engineer,38853.0,2022-03-22,Mumbai,,6.0,excellent
EMP23677,Pooja Iyer,31,F,IT,Operations Manager,74179.0,2017-08-28,Delhi,,9.4,Average
EMP10458,Arun Singh,23,Unknown,HR,Marketing Analyst,84794.0,2025-03-12,Delhi,,7.9,Poor
EMP26484,Vignesh Iyer,55,male,Operations,Data analyst,144047.0,2017-11-14,Hyderabad,,20.7,Average
EMP22951,Rahul Patel,22,Unknown,IT,Data analyst,82263.0,2024-10-22,Delhi,,24.2,Good
EMP23108,Rahul Menon,38,,HR,Software Engineer,147154.0,2020-11-06,Hyderabad,,17.9,
EMP24925,Nisha Kumar,57,,IT,Operations Manager,35339.0,2024-12-17,Mumbai ,,19.8,Poor
EMP20417,Rahul Sharma,39,M,IT,Software Engineer,53609.0,2018-03-25,Bangalore,,5 years,
EMP23797,Suresh Iyer,22,Female,IT,Accountant,119932.0,2023-03-13,Chennai ,,19.9,excellent
EMP12158,Anjali Nair,49,female,Finance,Marketing Analyst,176806.0,2023-12-07,Pune,,4.2,Average
EMP23334,Priya Iyer,49,F,HR,software engineer,117018.0,2016-05-09,Mumbai ,,8.9,
EMP13800,Sneha Das,54,M,IT,software engineer,21232.0,2018-06-05,Bangalore,,9.2,Excellent
EMP13555,Nisha Nair,49,female,Finance,Marketing Analyst,59031.0,2016-06-07,Hyderabad,,6.4,
EMP14901,Sneha Rao,30,female,HR,Data analyst,179514.0,2020-02-15,Kochi,,9.4,
EMP10317,Anjali Reddy,39,male,Finance,HR Executive,99128.0,2025-10-06,Hyderabad,,3.5,Excellent
EMP19057,Vignesh Patel,47,F,Finance,software engineer,95674.0,2021-10-17,Chennai,,21.5,good
EMP28372,Ravi Kumar,48,female,Sales,Marketing Analyst,177127.0,2018-08-04,Hyderabad,,18.2,Poor
EMP16499,Arun Reddy,28,Male,IT,Data analyst,81675.0,2018-02-22,Hyderabad,,5.7,Average
EMP16603,Karthik Kumar,21,,Sales,Data analyst,74830.0,2018-12-14,Hyd,,14.2,good
EMP28274,Anjali Nair,36,female,Operations,Data analyst,89636.0,2018-01-02,Mumbai ,,9.3,Average
EMP11085,Divya Singh,64,Unknown,IT,Data Analyst,179216.0,2024-07-02,Delhi,,3.9,
EMP24500,Ravi Nair,46,M,Marketing,Sales Executive,47052.0,2017-08-04,Pune,,0.6,
EMP22508,Suresh Menon,37,M,Marketing,Sales Executive,129921.0,2021-05-07,Kochi,,13.6,Excellent
EMP27065,Ravi Reddy,50,M,Marketing,Data analyst,20128.0,2024-10-05,Bengaluru,,6.7,Poor
EMP13529,Divya Verma,20,Male,IT,Data analyst,112696.0,2021-07-09,Mumbai,,2.9,Poor
EMP22016,Divya Rao,44,M,Finance,software engineer,91399.0,2026-04-13,Mumbai ,,17.6,good
EMP23088,Divya Das,51,Male,Finance,Accountant,33181.0,2018-01-31,Hyderabad,,10.7,
EMP26479,Pooja Nair,18,Male,HR,Accountant,105765.0,2015-04-07,Pune,,1.0,Good
EMP16024,Ravi Sharma,41,Female,IT,Operations Manager,148757.0,2025-11-17,Mumbai,,15.8,Excellent
