Employee_ID,Name,Age,Gender,Department,Job_Role,Salary,Joining_Date,City,Email,Experience_Years,Performance_Score
EMP22369,Karthik Iyer,30,,HR,Operations Manager,111587,2019-02-11,Kochi,ravi4206@company.com,6.1,good
EMP17361,Sneha Patel,21,M, IT ,HR Executive,85611,2019-05-12,Hyd,vignesh8035@company.com,6.9,Excellent
EMP13446,Meena Iyer,49,Unknown,Operations,Software Engineer,157829,2023-10-05,Mumbai,nisha8372@company.com,3.6,good
EMP28416,Nisha Das,,female,Sales,software engineer,38853,2022-03-22,Mumbai,suresh3723@company.com,6.0,excellent
EMP23677,Pooja Iyer,31,F, IT ,Operations Manager,74179,2017-08-28,Delhi,pooja7627@company.com,9.4,Average
EMP10458,Arun Singh,23,Unknown,Human Resources,Marketing Analyst,84794,2025-03-12,Delhi,karthik7055@company.com,7.9,Poor
EMP26484,Vignesh Iyer,55,male,Operations,Data analyst,144047,2017-11-14,Hyderabad,karthik1407@company.com,20.7,Average
EMP22951,Rahul Patel,22,Unknown,it,Data analyst,82263,2024-10-22,Delhi,rahul1823@company.com,24.2,Good
EMP23108,Rahul Menon,38,,H.R,Software Engineer,147154,2020-11-06,Hyderabad,divya4680@company.com,17.9,
EMP24925,Nisha Kumar,57,, IT ,Operations Manager,35339,2024-12-17,Mumbai ,anjali9566@company.com,19.8,Poor
EMP20417,Rahul Sharma,39,M,it,Software Engineer,53609,2018-03-25,Bangalore,suresh4789@company.com,5 years,
EMP23797,Suresh Iyer,22,Female,IT,Accountant,119932,2023-03-13,Chennai ,suresh1645@company.com,19.9,excellent
EMP12158,Anjali Nair,49,female,Finance,Marketing Analyst,176806,2023-12-07,Pune,anjali8730@company.com,4.2,Average
EMP23334,Priya Iyer,49,F,Human Resources,software engineer,117018,2016-05-09,Mumbai ,suresh5713@company.com,8.9,
EMP13800,Sneha Das,54,M, IT ,software engineer,21232,2018-06-05,Bangalore,anjali5396@company.com,9.2,Excellent
EMP13555,Nisha Nair,49,female,Finance ,Marketing Analyst,59031,2016-06-07,Hyderabad,vignesh3838@company.com,6.4,
EMP14901,Sneha Rao,30,female,Human Resources,Data analyst,179514,2020-02-15,Kochi,nisha150@company.com,9.4,
EMP10317,Anjali Reddy,39,male,Finance ,HR Executive,99128,2025-10-06,Hyderabad,rahul2348@company.com,3.5,Excellent
EMP19057,Vignesh Patel,47,F,  Finance  ,software engineer,95674,2021-10-17,Chennai,anjali9224@company.com,21.5,good
EMP28372,Ravi Kumar,48,female,Sales,Marketing Analyst,177127,2018-08-04,Hyderabad,priya9158@company.com,18.2,Poor
EMP16499,Arun Reddy,28,Male,IT,Data analyst,81675,2018-02-22,Hyderabad,vignesh6107@company.com,5.7,Average
EMP16603,Karthik Kumar,21,,Sales,Data analyst,74830,2018-12-14,Hyd,karthik1818@company.com,14.2,good
EMP28274,Anjali Nair,36,female,Operations,Data analyst,89636,2018-01-02,Mumbai ,arun3069@company.com,9.3,Average
EMP11085,Divya Singh,64,Unknown,IT,Data Analyst,179216,2024-07-02,Delhi,ravi8206@company.com,3.9,
EMP24500,Ravi Nair,46,M,Marketing,Sales Executive,47052,2017-08-04,Pune,vignesh4962@company.com,0.6,N/A
EMP22508,Suresh Menon,37,M,Marketing,Sales Executive,129921,2021-05-07,Kochi,ravi2755@company.com,13.6,Excellent
EMP27065,Ravi Reddy,50,M,Marketing,Data analyst,20128,2024-10-05,Bengaluru,divya9810@company.com,6.7,Poor
EMP13529,Divya Verma,20,Male, IT ,Data analyst,112696,2021-07-09,Mumbai,sneha5841@company.com,2.9,Poor
EMP22016,Divya Rao,44,M,Finance ,software engineer,91399,2026-04-13,Mumbai ,arun8884@company.com,17.6,good
EMP23088,Divya Das,51,Male,Finance,Accountant,33181,2018-01-31,Hyderabad,ravi7652@company.com,10.7,N/A
EMP26479,Pooja Nair,18,Male,Human Resources,Accountant,105765,2015-04-07,Pune,vignesh1104@company.com,1.0,Good
EMP16024,Ravi Sharma,41,Female, IT ,Operations Manager,148757,2025-11-17,Mumbai,suresh7374@company.com,15.8,Excellent
EMP28817,Divya Das,60,Male,Sales,Operations Manager,135163,2023-02-20,Chennai,pooja2113@company.com,19.6,Good
EMP26010,Ravi Das,38,female,H.R,Marketing Analyst,147893,2016-10-15,Mumbai ,priya8890@company.com,17.0,N/A
EMP11453,Karthik Das,59,Male,it,HR Executive,39818,2017-08-25,Mumbai ,priya1181@company.com,8.8,good
EMP29202,Amit Gupta,45,Male,it,Data Analyst,148682,2025-07-16,Kochi,karthik3795@company.com,23.6,good
EMP12911,Karthik Sharma,65,Female,HR,Software Engineer,30031,2025-04-13,Hyderabad,sneha9231@company.com,21.3,Poor
EMP18597,Pooja Kumar,28,Female,Marketing,Marketing Analyst,56253,2026-02-23,Bengaluru,amit9044@company.com,21.1,good
EMP15981,Amit Das,34,,IT,Data analyst,89939,2023-08-08,Mumbai ,suresh3161@company.com,4.2,Excellent
EMP10945,Meena Menon,43,Female,Sales,HR Executive,118974,2026-04-12,Delhi,amit5526@company.com,1.4,N/A
EMP10049,Amit Gupta,33,Female,Marketing,Marketing Analyst,78913,2022-12-17,Bengaluru,amit4280@company.com,22.8,Poor
EMP23596,Ravi Singh,59,F,HR,Accountant,35343,2024-09-10,Hyd,meena7268@company.com,14.7,
EMP12417,Priya Patel,54,F,HR,Data analyst,63146,2017-04-19,Delhi,priya6203@company.com,11.9,Poor
EMP26094,Pooja Kumar,47,F,Human Resources,Data analyst,26452,2026-02-20,Bengaluru,rahul8924@company.com,4.4,
EMP16213,Karthik Patel,24,male,it,Data Analyst,63904,2023-11-28,Chennai,arun3284@company.com,5.9,Excellent
EMP21384,Karthik Reddy,59,female,Sales,HR Executive,126347,2025-11-27,Bangalore,suresh3545@company.com,14.6,Good
EMP21909,Anjali Singh,61,F,Finance,Operations Manager,112225,2026-06-15,Mumbai,nisha9184@company.com,8.1,Poor
EMP13453,Vijay Das,60,male,Finance,Sales Executive,150224,2021-04-27,Hyd,amit3941@company.com,17.3,Average
EMP23959,Divya Menon,58,Female,Operations,Data analyst,160458,2018-01-12,Bengaluru,suresh371@company.com,0.4,Good
EMP10679,Karthik Das,29,Male,Finance,Operations Manager,43851,2021-08-13,Hyd,karthik7954@company.com,23.2,Good
EMP18847,Meena Gupta,50,F,Sales,Data analyst,151443,2022-12-09,Chennai,meena7125@company.com,22.6,Excellent
EMP21964,Sneha Menon,58,F,Operations,software engineer,128574,2015-08-01,Mumbai,vijay398@company.com,0.1,N/A
EMP11957,Ravi Gupta,55,,H.R,Software Engineer,90072,2018-01-01,Bengaluru,anjali3302@company.com,19.0,N/A
EMP20075,Sneha Patel,35,M,IT,Marketing Analyst,52052,2021-06-19,Mumbai,vijay9451@company.com,24.4,Excellent
EMP23007,Karthik Iyer,54,Female,Operations,HR Executive,63308,2018-11-02,Chennai,ravi1943@company.com,24.6,excellent
EMP22691,Nisha Iyer,22,,Sales,Software Engineer,149197,2026-07-26,Kochi,anjali7087@company.com,11.9,
EMP15824,Suresh Singh,46,F,Sales,Data analyst,81053,2019-10-15,Hyd,amit6067@company.com,21.5,Excellent
EMP12089,Divya Rao,60,Male,Marketing,Software Engineer,55042,2025-06-10,Hyderabad,sneha3525@company.com,21.5,
EMP21320,Vignesh Kumar,55,male,H.R,Data analyst,166066,2016-07-17,Delhi,amit2492@company.com,13.0,Good
EMP21929,Vijay Reddy,21,female, IT ,Marketing Analyst,54199,2018-12-23,Bengaluru,vijay193@company.com,2.5,Good
EMP22121,Rahul Kumar,53,Female,Marketing,software engineer,135825,2025-02-23,Hyderabad,divya2525@company.com,19.5,
